[-46, 70, 18, 83, 62, -25, 79, 18, -33, -74, -26, -82, -60, -46, 13, -36, -4, 37, 99, 98, -31, 85, 19, -18, 40, 58, 59, -75, -75, 7, -11, -1, 38, -91, 81, 40, -50, -11, 97, 31, -36, 16, -66, -79, -63, 88, 81, 50, 39, 12, 36, -68, 55, 82, -61, -34, -87, 62, -25, -61, 80, -89, 82, 94, 100, -34, -42, 65, 52, 99, 34, -91, 60, -26, 85, 50, -79, -44, -19, -9, -43, 71, 69, -44, 51, -61, -65, -86, -38, -60, -37, -92, -75, -64, 89, 30, -78, 70, -47, 56] 
[4, -100, -99, 31, 45, 29, -65, 27, 55, -88, -21, -67, 61, -88, 92, -29, 44, 45, -27, 43, 96, -18, 78, -80, -74, -100, 29, -77, 31, 88, -56, 29, -1, -91, 4, 99, 86, -21, 74, 17, -66, -88, 4, -85, 83, -50, 43, 46, 11, 27, 81, 62, 5, -55, -60, -89, -28, 92, 9, -6, 2, -9, -100, -59, -2, -60, 58, -66, 66, -15, 57, -1, 99, 64, -75, 83, -24, 66, -23, 16, 91, -81, -11, 33, -79, -41, -49, -75, -99, -67, -30, -70, 64, 64, 9, -35, 66, -63, -88, -46] 
[-21, -55, 94, 42, 55, -66, 75, 30, -1, -27, -80, -51, 12, 90, -18, 23, -35, 87, 75, 72, -56, 88, -9, 6, 32, 78, -30, 8, -30, -12, 1, -58, 65, -23, -78, 70, 6, 23, 21, 19, -86, -36, -88, 11, 69, 31, 67, 40, 25, -46, -98, 64, -82, -45, -24, 85, -30, 90, -81, 78, -9, 6, 38, 36, -13, 44, -49, 79, 82, -20, -48, 25, 32, 81, -46, -22, -78, -23, 50, -23, -50, -93, -62, -58, 99, -51, 92, -43, -75, 30, 33, -33, 45, 76, -39, 55, 5, -11, 76, 64] 
[-82, 62, -57, -31, 54, -18, 66, -41, 36, -88, 30, -32, 6, -21, 77, -31, -60, -68, -97, -53, 64, -9, -93, 53, 12, -75, -2, 74, 11, 95, -53, 7, 45, 95, 52, -61, -83, -46, -46, -29, -48, 29, 84, 65, 29, -57, -14, -68, -98, -56, -15, 71, 26, -10, 97, 49, -94, -96, -19, 100, 17, -83, 59, -96, -82, 77, 51, -50, 58, -61, -48, -40, 60, -63, 14, 56, -88, -11, -95, -30, 22, 3, 2, -26, 6, 31, -13, -42, -12, 59, 75, 50, 51, 12, -69, -78, -81, 71, -45, -25] 
[-61, 65, -100, 96, -21, 13, 19, 32, 88, 54, -21, 21, -76, -45, 11, -11, 37, 23, -81, -40, -15, 2, -8, 73, 79, -88, -91, -24, 60, -1, 67, -10, -36, 66, 53, 97, -21, 75, 24, 85, 86, 71, 60, -44, 67, -39, -32, -18, 23, -20, 47, -46, 31, 89, -90, 80, 46, -14, -5, 13, 91, 49, -50, -8, 98, -27, 5, -46, -46, 81, 51, -21, -70, -35, -49, 79, 29, 72, -91, -51, -49, -58, -33, -64, -64, -68, -71, 61, -48, 73, 71, 66, -74, -62, 39, -40, -18, 48, 94, 53] 
[-26, -23, 41, 9, -35, -70, 63, 60, -28, -7, -17, 57, -47, 47, -61, 87, -81, 94, -10, 71, 98, -8, 68, -50, -94, 4, -61, -31, -60, -53, 28, 12, -22, -8, 33, 5, 5, -72, -63, -23, -23, 21, 57, -93, -84, -75, -53, 68, -18, 2, 1, 95, -35, 64, -70, 97, 25, 34, -15, -49, 20, 54, -47, -19, 27, 85, -78, 28, 94, 58, -41, -84, 70, 42, -76, -24, 60, -58, 43, -68, 0, -20, -85, -75, -83, -53, 23, 93, 42, -34, -25, 79, -10, 87, -19, 17, 88, 78, -96, 14] 
[39, -26, 10, -19, -94, -96, 56, 53, 57, -44, 4, -13, 46, 35, -49, -27, -69, 89, 97, -73, -53, 81, -80, 89, 33, -84, -28, -38, 26, -93, 96, 80, 93, -87, 66, 95, -58, 54, 32, -98, -51, -77, -69, 38, 6, -56, -93, 19, 96, 26, -96, 1, -81, -37, 74, -43, -69, -10, -73, -69, -61, 44, -77, 18, -20, -78, 78, -58, -13, -19, 96, 46, -59, -65, -61, 16, 46, 58, -92, 55, 79, 2, 42, 25, 96, 31, -56, 94, 31, 31, 17, 36, 75, 53, 37, -51, 79, 39, 43, -16] 
[-99, 57, -10, -90, 6, -76, 41, 9, 20, -25, -85, 31, -55, 50, 37, -77, -15, 64, -20, -27, -63, -17, -68, -14, 70, 11, -43, 8, 100, 78, 53, 61, -54, -2, -11, -1, -16, -97, 18, 9, -97, -11, -76, -52, -39, 39, 77, 16, -34, 23, -31, -9, -46, 59, 38, -92, 55, 24, -76, -78, 49, 49, 39, -92, -31, 25, -77, 20, 3, 34, -65, 95, 51, 15, -91, 47, 3, 72, -47, 77, -31, 38, -86, 15, 82, -76, -22, -68, -20, -58, 79, 55, 17, 98, -100, -80, 97, 38, -60, -78] 
[46, -37, -91, 76, -62, 96, 56, 43, 99, 85, 65, 11, -93, -64, 96, -80, -53, -1, 56, 35, -21, 19, -5, 70, -86, 82, 24, 79, 75, 8, 22, 10, 46, -67, 48, 22, -78, -46, -70, -73, 30, 63, 70, -70, -63, 12, -63, 93, -98, 41, -7, 25, 49, -31, 98, 2, 76, -86, 50, 8, -41, 37, 36, 37, 1, -57, 2, -31, -91, 70, 69, 53, 8, 23, 80, 99, -25, -60, -43, -60, -97, -88, -18, 34, 53, -78, -79, -50, 61, -1, -30, -74, -34, 65, 48, 7, -52, 63, 83, 15] 
[16, -25, -41, 68, 72, -47, -6, -35, -10, 58, 60, 2, 0, -72, 55, 12, -52, -93, 40, 45, 92, 61, -37, -75, 58, 84, 17, 42, -85, -43, 4, 73, 98, 22, 76, 88, -14, 45, 34, -72, 5, -8, 68, -59, -27, 55, -36, 80, 7, -67, -47, 52, 37, -2, 3, 60, -39, -78, 2, -91, -85, -12, 64, 80, 67, 63, -88, 0, 65, 91, -95, -32, 34, -49, 66, 38, -53, -28, 66, -99, 15, -58, -54, -44, 73, 2, -99, -49, 20, 59, -96, -38, -56, 51, 73, 64, 52, 79, -57, 9] 
